1997 | UNITED ST0 | MFGR#141 | -121495
1997 | UNITED ST0 | MFGR#1411 | 14458331
1997 | UNITED ST0 | MFGR#1412 | 4930800
1997 | UNITED ST0 | MFGR#1413 | 8348263
1997 | UNITED ST0 | MFGR#1415 | 12860540
1997 | UNITED ST0 | MFGR#1416 | 369390
1997 | UNITED ST0 | MFGR#1417 | 2559836
1997 | UNITED ST0 | MFGR#1419 | 3487520
1997 | UNITED ST0 | MFGR#1420 | -111535
1997 | UNITED ST0 | MFGR#1421 | 7606183
1997 | UNITED ST0 | MFGR#1422 | 3506931
1997 | UNITED ST0 | MFGR#1424 | -80480
1997 | UNITED ST0 | MFGR#1425 | 544794
1997 | UNITED ST0 | MFGR#1426 | -86304
1997 | UNITED ST0 | MFGR#1427 | 3656669
1997 | UNITED ST0 | MFGR#1429 | 49287
1997 | UNITED ST0 | MFGR#143 | 2117195
1997 | UNITED ST0 | MFGR#1430 | 6119186
1997 | UNITED ST0 | MFGR#1431 | 3880145
1997 | UNITED ST0 | MFGR#1432 | 7684643
1997 | UNITED ST0 | MFGR#1433 | 1826133
1997 | UNITED ST0 | MFGR#1434 | 9958089
1997 | UNITED ST0 | MFGR#1436 | 9181617
1997 | UNITED ST0 | MFGR#1438 | 6978050
1997 | UNITED ST0 | MFGR#1439 | -80064
1997 | UNITED ST0 | MFGR#144 | 9863366
1997 | UNITED ST0 | MFGR#145 | 544685
1997 | UNITED ST0 | MFGR#146 | 5123581
1997 | UNITED ST0 | MFGR#147 | 3141639
1997 | UNITED ST0 | MFGR#148 | 4850895
1997 | UNITED ST0 | MFGR#149 | 6284460
1997 | UNITED ST1 | MFGR#141 | 3440802
1997 | UNITED ST1 | MFGR#1410 | 5648477
1997 | UNITED ST1 | MFGR#1411 | 3050935
1997 | UNITED ST1 | MFGR#1412 | 13854048
1997 | UNITED ST1 | MFGR#1415 | 4135110
1997 | UNITED ST1 | MFGR#1417 | 399888
1997 | UNITED ST1 | MFGR#1418 | 2691654
1997 | UNITED ST1 | MFGR#142 | 5083892
1997 | UNITED ST1 | MFGR#1421 | 6432785
1997 | UNITED ST1 | MFGR#1422 | 11678219
1997 | UNITED ST1 | MFGR#1425 | -63360
1997 | UNITED ST1 | MFGR#1426 | 1656922
1997 | UNITED ST1 | MFGR#1427 | 10015583
1997 | UNITED ST1 | MFGR#1428 | 5266343
