 d_year |    c_nation     |   profit
--------+-----------------+------------
1992|ARGENTINA      |16528513117
1992|BRAZIL         |16398939657
1992|CANADA         |17215506775
1992|PERU           |16197640380
1992|UNITED STATES  |17091990325
1993|ARGENTINA      |17057460641
1993|BRAZIL         |16176269704
1993|CANADA         |17197631474
1993|PERU           |16447024024
1993|UNITED STATES  |17678370805
1994|ARGENTINA      |16645910617
1994|BRAZIL         |16580652329
1994|CANADA         |16695816909
1994|PERU           |16712245280
1994|UNITED STATES  |17363591906
1995|ARGENTINA      |16994581429
1995|BRAZIL         |16644406686
1995|CANADA         |17157962049
1995|PERU           |17072964623
1995|UNITED STATES  |17446850165
1996|ARGENTINA      |16688636906
1996|BRAZIL         |16597860528
1996|CANADA         |16663341445
1996|PERU           |16470524766
1996|UNITED STATES  |16681046900
1997|ARGENTINA      |17182565001
1997|BRAZIL         |16604953922
1997|CANADA         |17262009380
1997|PERU           |16688146760
1997|UNITED STATES  |17182542346
1998|ARGENTINA      |9796981462
1998|BRAZIL         |9608249034
1998|CANADA         |9757299682
1998|PERU           |9683277621
1998|UNITED STATES  |9831410096
