 d_year |    s_nation     | p_category |  profit
--------+-----------------+------------+-----------
 1997|ARGENTINA      |MFGR#11|1637277533
 1997|ARGENTINA      |MFGR#12|1654636576
 1997|ARGENTINA      |MFGR#13|1707320583
 1997|ARGENTINA      |MFGR#14|1522375912
 1997|ARGENTINA      |MFGR#15|1607596094
 1997|ARGENTINA      |MFGR#21|1581237431
 1997|ARGENTINA      |MFGR#22|1661643280
 1997|ARGENTINA      |MFGR#23|1557474282
 1997|ARGENTINA      |MFGR#24|1557404549
 1997|ARGENTINA      |MFGR#25|1564530927
 1997|BRAZIL         |MFGR#11|1972275380
 1997|BRAZIL         |MFGR#12|1684908512
 1997|BRAZIL         |MFGR#13|1616684505
 1997|BRAZIL         |MFGR#14|1885698521
 1997|BRAZIL         |MFGR#15|1722534058
 1997|BRAZIL         |MFGR#21|1849711806
 1997|BRAZIL         |MFGR#22|1703913695
 1997|BRAZIL         |MFGR#23|1802244303
 1997|BRAZIL         |MFGR#24|1784784382
 1997|BRAZIL         |MFGR#25|1632868367
 1997|CANADA         |MFGR#11|1873464578
 1997|CANADA         |MFGR#12|1734806936
 1997|CANADA         |MFGR#13|1730360516
 1997|CANADA         |MFGR#14|1852623261
 1997|CANADA         |MFGR#15|1689429228
 1997|CANADA         |MFGR#21|1684947795
 1997|CANADA         |MFGR#22|1792407995
 1997|CANADA         |MFGR#23|1606636449
 1997|CANADA         |MFGR#24|1635445515
 1997|CANADA         |MFGR#25|1640116844
 1997|PERU           |MFGR#11|1580191030
 1997|PERU           |MFGR#12|1719235476
 1997|PERU           |MFGR#13|1579344238
 1997|PERU           |MFGR#14|1704203177
 1997|PERU           |MFGR#15|1799613606
 1997|PERU           |MFGR#21|1630687604
 1997|PERU           |MFGR#22|1671862870
 1997|PERU           |MFGR#23|1802248509
 1997|PERU           |MFGR#24|1679982413
 1997|PERU           |MFGR#25|1762593179
 1997|UNITED STATES  |MFGR#11|1717595477
 1997|UNITED STATES  |MFGR#12|1729534195
 1997|UNITED STATES  |MFGR#13|1816758638
 1997|UNITED STATES  |MFGR#14|1665870663
 1997|UNITED STATES  |MFGR#15|1776390535
 1997|UNITED STATES  |MFGR#21|1632527259
 1997|UNITED STATES  |MFGR#22|1729154781
 1997|UNITED STATES  |MFGR#23|1645970147
 1997|UNITED STATES  |MFGR#24|1682235173
 1997|UNITED STATES  |MFGR#25|1646858626
 1998|ARGENTINA      |MFGR#11|1037895586
 1998|ARGENTINA      |MFGR#12|975043614
 1998|ARGENTINA      |MFGR#13|868710148
 1998|ARGENTINA      |MFGR#14|1021587705
 1998|ARGENTINA      |MFGR#15|1011884719
 1998|ARGENTINA      |MFGR#21|1085288131
 1998|ARGENTINA      |MFGR#22|839782497
 1998|ARGENTINA      |MFGR#23|904357177
 1998|ARGENTINA      |MFGR#24|913877728
 1998|ARGENTINA      |MFGR#25|891835283
 1998|BRAZIL         |MFGR#11|1025371874
 1998|BRAZIL         |MFGR#12|968534318
 1998|BRAZIL         |MFGR#13|1000628052
 1998|BRAZIL         |MFGR#14|1056667538
 1998|BRAZIL         |MFGR#15|1147419291
 1998|BRAZIL         |MFGR#21|817890990
 1998|BRAZIL         |MFGR#22|991619766
 1998|BRAZIL         |MFGR#23|1073270205
 1998|BRAZIL         |MFGR#24|970290761
 1998|BRAZIL         |MFGR#25|899992352
 1998|CANADA         |MFGR#11|976345099
 1998|CANADA         |MFGR#12|937731969
 1998|CANADA         |MFGR#13|927898420
 1998|CANADA         |MFGR#14|1057605502
 1998|CANADA         |MFGR#15|1057190325
 1998|CANADA         |MFGR#21|910100605
 1998|CANADA         |MFGR#22|924175018
 1998|CANADA         |MFGR#23|1029858805
 1998|CANADA         |MFGR#24|1053298458
 1998|CANADA         |MFGR#25|986665613
 1998|PERU           |MFGR#11|945152034
 1998|PERU           |MFGR#12|970357628
 1998|PERU           |MFGR#13|962037204
 1998|PERU           |MFGR#14|1092862324
 1998|PERU           |MFGR#15|951908245
 1998|PERU           |MFGR#21|883259054
 1998|PERU           |MFGR#22|1020825435
 1998|PERU           |MFGR#23|883785400
 1998|PERU           |MFGR#24|928878020
 1998|PERU           |MFGR#25|939575962
 1998|UNITED STATES  |MFGR#11|995793890
 1998|UNITED STATES  |MFGR#12|998243355
 1998|UNITED STATES  |MFGR#13|1019270775
 1998|UNITED STATES  |MFGR#14|944134505
 1998|UNITED STATES  |MFGR#15|914799005
 1998|UNITED STATES  |MFGR#21|999940758
 1998|UNITED STATES  |MFGR#22|984165818
 1998|UNITED STATES  |MFGR#23|934585258
 1998|UNITED STATES  |MFGR#24|898538570
 1998|UNITED STATES  |MFGR#25|1046287106
