UNITED KI5 | UNITED KI5 | 1992 | 169403887
UNITED KI1 | UNITED KI5 | 1992 | 162180965
UNITED KI5 | UNITED KI1 | 1992 | 145507073
UNITED KI1 | UNITED KI1 | 1992 | 114943301
UNITED KI1 | UNITED KI5 | 1993 | 201038720
UNITED KI5 | UNITED KI5 | 1993 | 197000503
UNITED KI1 | UNITED KI1 | 1993 | 174498724
UNITED KI5 | UNITED KI1 | 1993 | 136645744
UNITED KI5 | UNITED KI5 | 1994 | 213763903
UNITED KI1 | UNITED KI1 | 1994 | 170511174
UNITED KI1 | UNITED KI5 | 1994 | 168757886
UNITED KI5 | UNITED KI1 | 1994 | 146382095
UNITED KI5 | UNITED KI5 | 1995 | 235625021
UNITED KI1 | UNITED KI5 | 1995 | 155959252
UNITED KI1 | UNITED KI1 | 1995 | 147019717
UNITED KI5 | UNITED KI1 | 1995 | 114235674
UNITED KI5 | UNITED KI1 | 1996 | 208815102
UNITED KI1 | UNITED KI5 | 1996 | 195769438
UNITED KI5 | UNITED KI5 | 1996 | 193445520
UNITED KI1 | UNITED KI1 | 1996 | 116982893
UNITED KI5 | UNITED KI5 | 1997 | 185247660
UNITED KI5 | UNITED KI1 | 1997 | 170395390
UNITED KI1 | UNITED KI1 | 1997 | 166994339
UNITED KI1 | UNITED KI5 | 1997 | 160952966
