1997 | ARGENTINA | MFGR#11 | 3648479841
1997 | ARGENTINA | MFGR#12 | 3415775928
1997 | ARGENTINA | MFGR#13 | 3586601422
1997 | ARGENTINA | MFGR#14 | 3571864812
1997 | ARGENTINA | MFGR#15 | 3405831702
1997 | ARGENTINA | MFGR#21 | 3243890017
1997 | ARGENTINA | MFGR#22 | 3378014429
1997 | ARGENTINA | MFGR#23 | 3477152340
1997 | ARGENTINA | MFGR#24 | 3292937556
1997 | ARGENTINA | MFGR#25 | 3386072882
1997 | BRAZIL | MFGR#11 | 3084875888
1997 | BRAZIL | MFGR#12 | 3119421139
1997 | BRAZIL | MFGR#13 | 3076763808
1997 | BRAZIL | MFGR#14 | 3156375646
1997 | BRAZIL | MFGR#15 | 3443834709
1997 | BRAZIL | MFGR#21 | 3300310525
1997 | BRAZIL | MFGR#22 | 3090625758
1997 | BRAZIL | MFGR#23 | 3248750605
1997 | BRAZIL | MFGR#24 | 3381696777
1997 | BRAZIL | MFGR#25 | 3303897465
1997 | CANADA | MFGR#11 | 3809138317
1997 | CANADA | MFGR#12 | 3424314673
1997 | CANADA | MFGR#13 | 3360608002
1997 | CANADA | MFGR#14 | 3611666634
1997 | CANADA | MFGR#15 | 3851804998
1997 | CANADA | MFGR#21 | 3628450291
1997 | CANADA | MFGR#22 | 3513172514
1997 | CANADA | MFGR#23 | 3619747984
1997 | CANADA | MFGR#24 | 3527777606
1997 | CANADA | MFGR#25 | 3516343995
1997 | PERU | MFGR#11 | 3292098588
1997 | PERU | MFGR#12 | 3220935906
1997 | PERU | MFGR#13 | 3062381510
1997 | PERU | MFGR#14 | 3435802293
1997 | PERU | MFGR#15 | 3424419958
1997 | PERU | MFGR#21 | 3644593419
1997 | PERU | MFGR#22 | 3288173432
1997 | PERU | MFGR#23 | 3368962607
1997 | PERU | MFGR#24 | 3384721397
1997 | PERU | MFGR#25 | 3374762767
1997 | UNITED STATES | MFGR#11 | 3167570419
1997 | UNITED STATES | MFGR#12 | 3271335926
1997 | UNITED STATES | MFGR#13 | 3032655972
1997 | UNITED STATES | MFGR#14 | 3229141699
1997 | UNITED STATES | MFGR#15 | 3182175370
1997 | UNITED STATES | MFGR#21 | 3278104952
1997 | UNITED STATES | MFGR#22 | 3507935546
1997 | UNITED STATES | MFGR#23 | 3242538196
1997 | UNITED STATES | MFGR#24 | 3434971682
1997 | UNITED STATES | MFGR#25 | 3331056801
1998 | ARGENTINA | MFGR#11 | 2018972009
1998 | ARGENTINA | MFGR#12 | 1933972395
1998 | ARGENTINA | MFGR#13 | 2021127110
1998 | ARGENTINA | MFGR#14 | 2017046635
1998 | ARGENTINA | MFGR#15 | 2211746206
1998 | ARGENTINA | MFGR#21 | 1841038076
1998 | ARGENTINA | MFGR#22 | 2021640690
1998 | ARGENTINA | MFGR#23 | 2075173723
1998 | ARGENTINA | MFGR#24 | 2163999631
1998 | ARGENTINA | MFGR#25 | 1934378477
1998 | BRAZIL | MFGR#11 | 1943723136
1998 | BRAZIL | MFGR#12 | 2008625996
1998 | BRAZIL | MFGR#13 | 1996431443
1998 | BRAZIL | MFGR#14 | 1999281409
1998 | BRAZIL | MFGR#15 | 1891208964
1998 | BRAZIL | MFGR#21 | 2019093093
1998 | BRAZIL | MFGR#22 | 1823242853
1998 | BRAZIL | MFGR#23 | 1705676129
1998 | BRAZIL | MFGR#24 | 1902313875
1998 | BRAZIL | MFGR#25 | 1933180044
1998 | CANADA | MFGR#11 | 2010485612
1998 | CANADA | MFGR#12 | 2209873839
1998 | CANADA | MFGR#13 | 1753233902
1998 | CANADA | MFGR#14 | 2037954399
1998 | CANADA | MFGR#15 | 2176267394
1998 | CANADA | MFGR#21 | 2008719047
1998 | CANADA | MFGR#22 | 2020606799
1998 | CANADA | MFGR#23 | 2150805644
1998 | CANADA | MFGR#24 | 2052735228
1998 | CANADA | MFGR#25 | 2316219074
1998 | PERU | MFGR#11 | 1924883661
1998 | PERU | MFGR#12 | 2006343106
1998 | PERU | MFGR#13 | 1894694519
1998 | PERU | MFGR#14 | 1824183460
1998 | PERU | MFGR#15 | 2056122717
1998 | PERU | MFGR#21 | 2003368102
1998 | PERU | MFGR#22 | 1997858032
1998 | PERU | MFGR#23 | 1940246017
1998 | PERU | MFGR#24 | 1949067715
1998 | PERU | MFGR#25 | 1984892617
1998 | UNITED STATES | MFGR#11 | 2107181067
1998 | UNITED STATES | MFGR#12 | 1928026705
1998 | UNITED STATES | MFGR#13 | 1930081282
1998 | UNITED STATES | MFGR#14 | 2078404278
1998 | UNITED STATES | MFGR#15 | 1843824481
1998 | UNITED STATES | MFGR#21 | 1785870873
1998 | UNITED STATES | MFGR#22 | 1788785977
1998 | UNITED STATES | MFGR#23 | 2030301219
1998 | UNITED STATES | MFGR#24 | 2081738037
1998 | UNITED STATES | MFGR#25 | 1811569307
