1997 | UNITED ST0 | MFGR#141 | 6752336
1997 | UNITED ST0 | MFGR#1410 | 503198
1997 | UNITED ST0 | MFGR#1411 | 6965008
1997 | UNITED ST0 | MFGR#1412 | 796199
1997 | UNITED ST0 | MFGR#1413 | 19162426
1997 | UNITED ST0 | MFGR#1414 | 2534506
1997 | UNITED ST0 | MFGR#1416 | 9978140
1997 | UNITED ST0 | MFGR#1417 | 1070287
1997 | UNITED ST0 | MFGR#1418 | 20457945
1997 | UNITED ST0 | MFGR#1419 | 10037409
1997 | UNITED ST0 | MFGR#142 | -147917
1997 | UNITED ST0 | MFGR#1421 | 15072083
1997 | UNITED ST0 | MFGR#1422 | 399835
1997 | UNITED ST0 | MFGR#1423 | 12762927
1997 | UNITED ST0 | MFGR#1424 | 17035805
1997 | UNITED ST0 | MFGR#1425 | 6144492
1997 | UNITED ST0 | MFGR#1426 | 11222507
1997 | UNITED ST0 | MFGR#1427 | 14295270
1997 | UNITED ST0 | MFGR#1428 | 2634681
1997 | UNITED ST0 | MFGR#1429 | 8268854
1997 | UNITED ST0 | MFGR#143 | 5317723
1997 | UNITED ST0 | MFGR#1431 | 12864274
1997 | UNITED ST0 | MFGR#1432 | 7467256
1997 | UNITED ST0 | MFGR#1433 | 3350023
1997 | UNITED ST0 | MFGR#1434 | 15248713
1997 | UNITED ST0 | MFGR#1435 | 10425621
1997 | UNITED ST0 | MFGR#1436 | 2285118
1997 | UNITED ST0 | MFGR#1437 | 18349576
1997 | UNITED ST0 | MFGR#1438 | 15894460
1997 | UNITED ST0 | MFGR#1439 | 8790705
1997 | UNITED ST0 | MFGR#144 | 690372
1997 | UNITED ST0 | MFGR#146 | 3244624
1997 | UNITED ST0 | MFGR#147 | 292950
1997 | UNITED ST0 | MFGR#148 | -110203
1997 | UNITED ST0 | MFGR#149 | 2560914
1997 | UNITED ST1 | MFGR#141 | 8260949
1997 | UNITED ST1 | MFGR#1410 | 21044638
1997 | UNITED ST1 | MFGR#1411 | 8029774
1997 | UNITED ST1 | MFGR#1412 | 9468045
1997 | UNITED ST1 | MFGR#1413 | 1178051
1997 | UNITED ST1 | MFGR#1414 | 19663290
1997 | UNITED ST1 | MFGR#1415 | 23430207
1997 | UNITED ST1 | MFGR#1416 | 6050530
1997 | UNITED ST1 | MFGR#1417 | 9615533
1997 | UNITED ST1 | MFGR#1418 | 5436705
1997 | UNITED ST1 | MFGR#1419 | 4986726
1997 | UNITED ST1 | MFGR#142 | 6136176
1997 | UNITED ST1 | MFGR#1420 | 6323312
1997 | UNITED ST1 | MFGR#1421 | 1505755
1997 | UNITED ST1 | MFGR#1422 | 20164646
1997 | UNITED ST1 | MFGR#1423 | 4524493
1997 | UNITED ST1 | MFGR#1424 | 24306750
1997 | UNITED ST1 | MFGR#1425 | 6033116
1997 | UNITED ST1 | MFGR#1426 | 16082397
1997 | UNITED ST1 | MFGR#1427 | 16642348
1997 | UNITED ST1 | MFGR#1428 | 9503941
1997 | UNITED ST1 | MFGR#143 | 17442771
1997 | UNITED ST1 | MFGR#1430 | 5453675
1997 | UNITED ST1 | MFGR#1431 | 24004479
1997 | UNITED ST1 | MFGR#1432 | 8640242
1997 | UNITED ST1 | MFGR#1433 | 20597973
1997 | UNITED ST1 | MFGR#1434 | 5854150
1997 | UNITED ST1 | MFGR#1435 | 11369144
1997 | UNITED ST1 | MFGR#1436 | 7060298
1997 | UNITED ST1 | MFGR#1437 | 7808471
1997 | UNITED ST1 | MFGR#1438 | 16206662
1997 | UNITED ST1 | MFGR#144 | 9881142
1997 | UNITED ST1 | MFGR#1440 | 6383058
1997 | UNITED ST1 | MFGR#145 | 1373831
1997 | UNITED ST1 | MFGR#146 | 3108237
1997 | UNITED ST1 | MFGR#147 | 7975203
1997 | UNITED ST1 | MFGR#148 | 13294837
1997 | UNITED ST1 | MFGR#149 | -72668
1997 | UNITED ST2 | MFGR#141 | 1609510
1997 | UNITED ST2 | MFGR#1410 | -112435
