   sum    | d_year | p_brand1
-----------+--------+-----------
2047243849|1992|MFGR#121
2103792322|1992|MFGR#1210
2292639202|1992|MFGR#1211
2116238639|1992|MFGR#1212
2138257812|1992|MFGR#1213
2310688008|1992|MFGR#1214
2254149677|1992|MFGR#1215
2172398884|1992|MFGR#1216
2179186806|1992|MFGR#1217
2203391514|1992|MFGR#1218
1887802795|1992|MFGR#1219
2228424150|1992|MFGR#122
1961569796|1992|MFGR#1220
2030810638|1992|MFGR#1221
2087506940|1992|MFGR#1222
1826145686|1992|MFGR#1223
2479360353|1992|MFGR#1224
2221867773|1992|MFGR#1225
2201119676|1992|MFGR#1226
2126731895|1992|MFGR#1227
2305295232|1992|MFGR#1228
2271694152|1992|MFGR#1229
2257647668|1992|MFGR#123
2005076788|1992|MFGR#1230
2132846605|1992|MFGR#1231
2203756523|1992|MFGR#1232
2120927364|1992|MFGR#1233
2291157140|1992|MFGR#1234
2174636247|1992|MFGR#1235
2221955087|1992|MFGR#1236
2201769979|1992|MFGR#1237
1871245826|1992|MFGR#1238
2013939177|1992|MFGR#1239
2101290243|1992|MFGR#124
2303292027|1992|MFGR#1240
2028269145|1992|MFGR#125
2155243963|1992|MFGR#126
2336358287|1992|MFGR#127
2246921031|1992|MFGR#128
1990453307|1992|MFGR#129
2024608080|1993|MFGR#121
2090951608|1993|MFGR#1210
2277773531|1993|MFGR#1211
1933167475|1993|MFGR#1212
2107995960|1993|MFGR#1213
2114601317|1993|MFGR#1214
2332013175|1993|MFGR#1215
2314041704|1993|MFGR#1216
2363702034|1993|MFGR#1217
1923076504|1993|MFGR#1218
1882128161|1993|MFGR#1219
2037089563|1993|MFGR#122
2112255436|1993|MFGR#1220
2174275652|1993|MFGR#1221
2013592224|1993|MFGR#1222
2073350328|1993|MFGR#1223
2283134052|1993|MFGR#1224
2373375496|1993|MFGR#1225
2215907346|1993|MFGR#1226
2010373070|1993|MFGR#1227
2313783819|1993|MFGR#1228
2093122150|1993|MFGR#1229
2361149930|1993|MFGR#123
2045841729|1993|MFGR#1230
2155498557|1993|MFGR#1231
2455079930|1993|MFGR#1232
2155976729|1993|MFGR#1233
2356191426|1993|MFGR#1234
2110572238|1993|MFGR#1235
2260393132|1993|MFGR#1236
2180876792|1993|MFGR#1237
2075960506|1993|MFGR#1238
2175334201|1993|MFGR#1239
2183001186|1993|MFGR#124
2184996437|1993|MFGR#1240
2062761855|1993|MFGR#125
1990869631|1993|MFGR#126
2430024601|1993|MFGR#127
2265853672|1993|MFGR#128
2095192673|1993|MFGR#129
2005800795|1994|MFGR#121
2009106973|1994|MFGR#1210
2255635619|1994|MFGR#1211
2263756080|1994|MFGR#1212
2065699211|1994|MFGR#1213
2310769991|1994|MFGR#1214
2370991691|1994|MFGR#1215
2347774081|1994|MFGR#1216
2182167148|1994|MFGR#1217
2000625387|1994|MFGR#1218
1826335361|1994|MFGR#1219
2219511994|1994|MFGR#122
2066017902|1994|MFGR#1220
2199411184|1994|MFGR#1221
2084350003|1994|MFGR#1222
2126716260|1994|MFGR#1223
2400513310|1994|MFGR#1224
2094946846|1994|MFGR#1225
2191274013|1994|MFGR#1226
2239010881|1994|MFGR#1227
2159205469|1994|MFGR#1228
2121195817|1994|MFGR#1229
2292377384|1994|MFGR#123
2170528101|1994|MFGR#1230
2125042142|1994|MFGR#1231
2341327214|1994|MFGR#1232
2345936550|1994|MFGR#1233
1931879803|1994|MFGR#1234
2197729456|1994|MFGR#1235
2266975814|1994|MFGR#1236
2184678047|1994|MFGR#1237
1793143496|1994|MFGR#1238
1934729533|1994|MFGR#1239
2208076655|1994|MFGR#124
2238635335|1994|MFGR#1240
1951548944|1994|MFGR#125
2147929776|1994|MFGR#126
2182455698|1994|MFGR#127
2466237326|1994|MFGR#128
1916130190|1994|MFGR#129
2170788856|1995|MFGR#121
2095160396|1995|MFGR#1210
2359418323|1995|MFGR#1211
2101923789|1995|MFGR#1212
2091078721|1995|MFGR#1213
2212628895|1995|MFGR#1214
2184223956|1995|MFGR#1215
2150277873|1995|MFGR#1216
2495350465|1995|MFGR#1217
1919998699|1995|MFGR#1218
2082128246|1995|MFGR#1219
2260021236|1995|MFGR#122
2047344229|1995|MFGR#1220
2198073614|1995|MFGR#1221
2021420658|1995|MFGR#1222
1934962511|1995|MFGR#1223
2503969764|1995|MFGR#1224
2148467979|1995|MFGR#1225
2465623335|1995|MFGR#1226
1993480310|1995|MFGR#1227
2433854374|1995|MFGR#1228
2084723831|1995|MFGR#1229
2485079734|1995|MFGR#123
2037708105|1995|MFGR#1230
2052996006|1995|MFGR#1231
2440268403|1995|MFGR#1232
2189736361|1995|MFGR#1233
2240621593|1995|MFGR#1234
2186267656|1995|MFGR#1235
2410356863|1995|MFGR#1236
2322379997|1995|MFGR#1237
1933646376|1995|MFGR#1238
2193462429|1995|MFGR#1239
2324021947|1995|MFGR#124
2257935754|1995|MFGR#1240
1865026145|1995|MFGR#125
1998188161|1995|MFGR#126
2275357619|1995|MFGR#127
2181915246|1995|MFGR#128
1917575407|1995|MFGR#129
2182651803|1996|MFGR#121
2092972870|1996|MFGR#1210
2387536279|1996|MFGR#1211
2232380464|1996|MFGR#1212
2267669819|1996|MFGR#1213
1997231318|1996|MFGR#1214
2425723744|1996|MFGR#1215
2477434515|1996|MFGR#1216
2457162799|1996|MFGR#1217
1967807288|1996|MFGR#1218
1971782697|1996|MFGR#1219
2272253270|1996|MFGR#122
2044323748|1996|MFGR#1220
2096070012|1996|MFGR#1221
2101515312|1996|MFGR#1222
1855412219|1996|MFGR#1223
2354912898|1996|MFGR#1224
2223343914|1996|MFGR#1225
2292385385|1996|MFGR#1226
1923213895|1996|MFGR#1227
2041515393|1996|MFGR#1228
2007776573|1996|MFGR#1229
2291121664|1996|MFGR#123
2101132131|1996|MFGR#1230
2229497530|1996|MFGR#1231
2295796290|1996|MFGR#1232
2001364780|1996|MFGR#1233
2117778481|1996|MFGR#1234
2049546785|1996|MFGR#1235
2362838349|1996|MFGR#1236
2146371021|1996|MFGR#1237
1959939872|1996|MFGR#1238
2084490314|1996|MFGR#1239
2235332491|1996|MFGR#124
2271582260|1996|MFGR#1240
2081077122|1996|MFGR#125
2043723063|1996|MFGR#126
2239737130|1996|MFGR#127
2151784730|1996|MFGR#128
2027417622|1996|MFGR#129
2062998689|1997|MFGR#121
2070292446|1997|MFGR#1210
2001127725|1997|MFGR#1211
2068557055|1997|MFGR#1212
1912683052|1997|MFGR#1213
2038568396|1997|MFGR#1214
2236752066|1997|MFGR#1215
2363513112|1997|MFGR#1216
2409700205|1997|MFGR#1217
1954580096|1997|MFGR#1218
2051184011|1997|MFGR#1219
2214634120|1997|MFGR#122
2068745479|1997|MFGR#1220
2245101107|1997|MFGR#1221
2076434602|1997|MFGR#1222
1879801109|1997|MFGR#1223
2293567999|1997|MFGR#1224
2210501496|1997|MFGR#1225
2286420848|1997|MFGR#1226
2038355623|1997|MFGR#1227
2319616137|1997|MFGR#1228
2137276431|1997|MFGR#1229
2304181547|1997|MFGR#123
2022264295|1997|MFGR#1230
2260536531|1997|MFGR#1231
2298394955|1997|MFGR#1232
2096217171|1997|MFGR#1233
2008587108|1997|MFGR#1234
2136883422|1997|MFGR#1235
2259394186|1997|MFGR#1236
2274164445|1997|MFGR#1237
1933783194|1997|MFGR#1238
2113234480|1997|MFGR#1239
2120864117|1997|MFGR#124
2439423895|1997|MFGR#1240
1929391566|1997|MFGR#125
1931761775|1997|MFGR#126
2104476863|1997|MFGR#127
2266873771|1997|MFGR#128
1920009298|1997|MFGR#129
1258018104|1998|MFGR#121
1289064141|1998|MFGR#1210
1182232609|1998|MFGR#1211
1229266283|1998|MFGR#1212
1274149505|1998|MFGR#1213
1129735817|1998|MFGR#1214
1366638966|1998|MFGR#1215
1480562051|1998|MFGR#1216
1435716494|1998|MFGR#1217
1179067690|1998|MFGR#1218
1210788613|1998|MFGR#1219
1161255171|1998|MFGR#122
1173399037|1998|MFGR#1220
1337893639|1998|MFGR#1221
1258807003|1998|MFGR#1222
1234988562|1998|MFGR#1223
1290833421|1998|MFGR#1224
1281938571|1998|MFGR#1225
1168978713|1998|MFGR#1226
1214387433|1998|MFGR#1227
1379840198|1998|MFGR#1228
1118718395|1998|MFGR#1229
1327814304|1998|MFGR#123
1165187446|1998|MFGR#1230
1195315476|1998|MFGR#1231
1396222160|1998|MFGR#1232
1224568283|1998|MFGR#1233
1363798933|1998|MFGR#1234
1380719920|1998|MFGR#1235
1286715091|1998|MFGR#1236
1266564953|1998|MFGR#1237
1189261010|1998|MFGR#1238
1363794836|1998|MFGR#1239
1210135724|1998|MFGR#124
1426418335|1998|MFGR#1240
1299878743|1998|MFGR#125
1257338300|1998|MFGR#126
1400812480|1998|MFGR#127
1469712068|1998|MFGR#128
1217224711|1998|MFGR#129
