   c_city   |   s_city   | d_year |  revenue
------------+------------+--------+-----------
UNITED ST6|UNITED ST8|1992|263791499
UNITED ST7|UNITED ST8|1992|252605207
UNITED ST1|UNITED ST7|1992|247167902
UNITED ST6|UNITED ST1|1992|242039690
UNITED ST8|UNITED ST5|1992|227978059
UNITED ST8|UNITED ST8|1992|227749875
UNITED ST6|UNITED ST6|1992|225490895
UNITED ST7|UNITED ST1|1992|223668992
UNITED ST1|UNITED ST6|1992|218327738
UNITED ST2|UNITED ST8|1992|211616184
UNITED ST6|UNITED ST9|1992|210188338
UNITED ST1|UNITED ST8|1992|206358847
UNITED ST6|UNITED ST4|1992|201652640
UNITED ST2|UNITED ST6|1992|201332394
UNITED ST7|UNITED ST7|1992|200906101
UNITED ST5|UNITED ST9|1992|200115610
UNITED ST3|UNITED ST8|1992|199245736
UNITED ST4|UNITED ST1|1992|197372807
UNITED ST1|UNITED ST1|1992|197316793
UNITED ST3|UNITED ST1|1992|195062331
UNITED ST3|UNITED ST6|1992|194968945
UNITED ST7|UNITED ST5|1992|191881629
UNITED ST1|UNITED ST2|1992|191276496
UNITED ST9|UNITED ST2|1992|190222993
UNITED ST5|UNITED ST8|1992|190149544
UNITED ST0|UNITED ST3|1992|188590382
UNITED ST0|UNITED ST4|1992|187802393
UNITED ST5|UNITED ST5|1992|187633706
UNITED ST9|UNITED ST7|1992|185580011
UNITED ST9|UNITED ST1|1992|184242576
UNITED ST9|UNITED ST5|1992|182751182
UNITED ST1|UNITED ST5|1992|182157046
UNITED ST3|UNITED ST5|1992|180579695
UNITED ST9|UNITED ST8|1992|180312948
UNITED ST0|UNITED ST9|1992|179800406
UNITED ST5|UNITED ST6|1992|178001672
UNITED ST2|UNITED ST1|1992|177346729
UNITED ST8|UNITED ST9|1992|176966714
UNITED ST5|UNITED ST1|1992|176397012
UNITED ST1|UNITED ST0|1992|175524791
UNITED ST4|UNITED ST3|1992|174499634
UNITED ST0|UNITED ST8|1992|174383445
UNITED ST7|UNITED ST9|1992|172599223
UNITED ST7|UNITED ST3|1992|171197277
UNITED ST0|UNITED ST0|1992|171028351
UNITED ST0|UNITED ST6|1992|170524978
UNITED ST2|UNITED ST7|1992|169195427
UNITED ST2|UNITED ST3|1992|168632544
UNITED ST3|UNITED ST9|1992|168568761
UNITED ST3|UNITED ST3|1992|168468768
UNITED ST8|UNITED ST6|1992|168451166
UNITED ST9|UNITED ST9|1992|168223238
UNITED ST2|UNITED ST4|1992|166324907
UNITED ST2|UNITED ST5|1992|165929493
UNITED ST7|UNITED ST0|1992|164335666
UNITED ST4|UNITED ST5|1992|162869278
UNITED ST6|UNITED ST7|1992|162698367
UNITED ST4|UNITED ST4|1992|162212586
UNITED ST5|UNITED ST0|1992|161946243
UNITED ST1|UNITED ST3|1992|161868562
UNITED ST4|UNITED ST2|1992|161864320
UNITED ST5|UNITED ST3|1992|160887930
UNITED ST6|UNITED ST2|1992|160558588
UNITED ST4|UNITED ST9|1992|159925290
UNITED ST6|UNITED ST5|1992|158540363
UNITED ST5|UNITED ST7|1992|156213724
UNITED ST9|UNITED ST6|1992|155044871
UNITED ST0|UNITED ST1|1992|153450696
UNITED ST8|UNITED ST2|1992|152945056
UNITED ST8|UNITED ST3|1992|152415113
UNITED ST1|UNITED ST4|1992|152120948
UNITED ST8|UNITED ST0|1992|151130804
UNITED ST3|UNITED ST7|1992|151088254
UNITED ST6|UNITED ST0|1992|148055069
UNITED ST0|UNITED ST7|1992|147947392
UNITED ST7|UNITED ST6|1992|146562948
UNITED ST9|UNITED ST0|1992|145262997
UNITED ST4|UNITED ST6|1992|143041373
UNITED ST4|UNITED ST8|1992|140056583
UNITED ST3|UNITED ST2|1992|138887376
UNITED ST3|UNITED ST0|1992|138130015
UNITED ST4|UNITED ST7|1992|134557860
UNITED ST4|UNITED ST0|1992|133806083
UNITED ST0|UNITED ST2|1992|132173020
UNITED ST3|UNITED ST4|1992|132127615
UNITED ST2|UNITED ST9|1992|131642727
UNITED ST1|UNITED ST9|1992|131594546
